id_estudiante,nombre,edad,correo
E1005,Carlos Pérez,26.0,diego.perez25empresa.com
,Ana Santos,27.0,adriana.romero42@correo.sv
E1018,Sofía Flores,,adriana.hernandez37@empresa.com
,Gabriela Martínez,17.0,ricardo.ramirez84@gmail.com
E1027,Andrea Rivas,,paola.vasquez16@correo.sv
,Carlos Vásquez,22.0,ricardo.castro43@empresa.com
E1040,Elena Flores,,valeria.martinez27@correo.sv
E1050,Ricardo Martínez,,carlos.romero18@correo.sv
E1060,Natalia Santos,18.0,jorge.flores60empresa.com
E1064,Diego Mendoza,,diego.flores10@outlook.com
E1073,Daniela Cruz,,daniela.santos62@correo.sv
E1075,Paola López,25.0,patricia.vasquez12empresa.com
E1076,Adriana Gómez,,mario.cruz32@correo.sv
E1077,Adriana Santos,,jorge.mejia86@correo.sv
,Miguel Morales,17.0,jose.guerrero28@empresa.com
E1088,Daniela Flores,,marta.perez48@correo.sv
E1091,Paola Reyes,21.0,kevin.cruz35empresa.com
E1097,Ricardo Martínez,23.0,elena.torres39gmail.com
E1098,Ricardo Pérez,,kevin.santos17@empresa.com
E1101,Óscar Hernández,18.0,maria.lopez74empresa.com
E1108,Valeria Flores,,daniela.mejia80@outlook.com
,Diego Mendoza,19.0,daniela.gomez98@outlook.com
E1113,Fernando Reyes,,raul.flores34@gmail.com
E1116,Carlos Morales,,kevin.mejia61@empresa.com
E1119,Jorge Vásquez,,andrea.castro81@outlook.com
E1123,Mario Martínez,,daniela.perez37@correo.sv
E1139,Luis Rivas,,maria.rivas66@gmail.com
E1146,Lucía Cruz,29.0,raul.mejia31outlook.com
E1147,Ricardo Hernández,27.0,marta.santos2correo.sv
E1150,Raúl Santos,,andres.castro54@correo.sv
,Marta Romero,30.0,luis.morales96@correo.sv
E1163,Sofía Flores,,patricia.gomez57@gmail.com
,Luis Pérez,24.0,valeria.ramirez10@correo.sv
E1168,Luis Martínez,30.0,pedro.guerrero70gmail.com
E1173,Patricia Torres,,pedro.martinez38@empresa.com
,Carlos Mejía,27.0,elena.romero19@outlook.com
E1176,Diego Gómez,,jose.torres11@correo.sv
E1179,Daniela Martínez,30.0,fernando.castro86gmail.com
